physician_id,physician_efficiency,metro_area,physician_working_specialty,physician_gender,physician_credential,physician_med_school,physician_graduation_year,bump_feature,engineered_feature_1,engineered_feature_2,engineered_feature_3,medicare_engineered_1,medicare_engineered_2,medicare_engineered_3,medicare_enginerred_4,medicare_engineered_5,medicare_engineered_6,num_medicare_patients,medicare_patient_hcc_risk_score
866,0.1,Chicago,Nephrology,M,UNKNOWN,OTHER,2008,12,1.004,1.361,9.7,3.25,3,5,2,1,5,228,5.328
4766,0.12,Chicago,Hospital Based Physician,M,UNKNOWN,OTHER,1982,15,0.662,0.901,6,4,4,2,5,5,4,372,2.057
7088,0.12,Chicago,Nephrology,F,UNKNOWN,OTHER,2004,16,0.227,1.148,0.4,2.75,3,1,4,2,4,339,5.472
2808,0.12,Chicago,Nephrology,F,UNKNOWN,"LOYOLA UNIVERSITY OF CHICAGO, STRITCH SCHOOL OF MEDICINE",2013,14,0.135,1.06,1.4,4,4,3,4,4,5,358,6.3
4040,0.13,Dallas,Nephrology,F,UNKNOWN,OTHER,1979,17,1.096,1.1,3.3,3,3,1,5,4,2,219,3.445
9614,0.14,Dallas,Nephrology,F,MD,OTHER,2000,21,0.821,0.868,13.7,3.667,4,5,0,1,5,570,4.85
7220,0.14,Chicago,Nephrology,F,UNKNOWN,UNIVERSITY OF WISCONSIN MEDICAL SCHOOL,2015,20,0.838,1.155,14.9,2.25,2,2,2,3,2,145,5.318
2464,0.15,Dallas,Nephrology,M,UNKNOWN,UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL SCHOOL AT DALLAS,2002,22,1.087,1.092,5.9,4.25,4,3,5,5,4,532,5.826
6896,0.15,Dallas,Cardiovascular - Interventional,U,UNKNOWN,UNKNOWN,,24,1.028,1.087,8.3,1.5,2,1,1,1,3,301,1.806
6729,0.16,Chicago,Nephrology,M,MD,OTHER,1987,26,0.232,0.495,6.6,2.5,3,1,1,5,3,642,3.893
6999,0.16,Dallas,Nephrology,M,MD,UNIVERSITY OF NORTH TEXAS HEALTH SCIENCE CENTER AT FORT WORTH,2006,27,0.249,1.045,15.8,2.25,2,5,1,1,2,644,3.397
7195,0.16,Dallas,Nephrology,M,UNKNOWN,UNIVERSITY OF MINNESOTA MEDICAL SCHOOL,2011,28,0.795,0.795,5.3,2,2,4,1,1,2,688,3.21
8887,0.16,Chicago,Emergency Medicine,M,UNKNOWN,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL SCHOOL OF MEDICINE,2013,29,0.196,0.9,8.5,4.667,5,5,0,4,5,887,2.227
4128,0.17,Chicago,Emergency Medicine,M,UNKNOWN,MOUNT SINAI SCHOOL OF MEDICINE OF CITY UNIVERSITY OF NEW YORK,2002,30,1.1,0.964,1.9,2,2,1,0,4,1,216,1.247
6643,0.17,Chicago,Emergency Medicine,M,UNKNOWN,NORTHWESTERN UNIVERSITY MEDICAL SCHOOL,2015,31,0.193,0.895,4.1,3.75,4,4,1,5,5,1357,2.219
6213,0.18,Chicago,Physical Medicine & Rehabilitation,F,UNKNOWN,OTHER,1972,34,1.072,0.997,6.8,1,1,1,0,0,1,34,1.385
8744,0.18,Chicago,Clinical Psychology,M,UNKNOWN,OTHER,2012,36,0.828,1.224,4.7,3,3,1,0,0,5,292,2.017
3164,0.18,Chicago,Nephrology,M,UNKNOWN,UNIVERSITY OF TEXAS MEDICAL SCHOOL AT SAN ANTONIO,2014,33,1.049,1.095,4.1,2.333,2,4,1,0,2,492,4.631
2807,0.19,Chicago,Cardiovascular - Non-interventional,M,MD,OTHER,1970,39,0.874,0.964,1.7,1.75,2,1,3,2,1,200,1.249
